Date,Round,Rhian,Keith,Artist,Title,tag
2022-07-03,#128,0,NA,Paula Abdul,Straight Up,pop
2022-07-04,#129,0,1,Twenty One Pilots,Stressed Out,electronic
2022-07-05,#130,4,4,Eric Carmen,Hungry Eyes,pop
2022-07-06,#131,0,6,Jennifer Lopez,If You Had My Love,pop
2022-07-07,#132,5,1,Craig David,Rewind,rnb
2022-07-08,#133,0,0,A$AP Rocky,Praise The Lord (Da Shine),Hip-Hop
2022-07-09,#134,0,2,Kevin Lyttle,Turn Me On,dancehall
2022-07-11,#136,0,3,So Solid Crew,21 Seconds,Grime
2022-07-12,#137,1,1,Fun feat. Janelle Monáe,We Are Young,indie pop
2022-07-13,#138,1,1,My Chemical Romance,Welcome to The Black Parade,rock
2022-07-14,#140,0,0,Radiohead,High & Dry,alternative
2022-07-15,#141,0,NA,ZZ Top,La Grange,classic rock
2022-07-16,#142,0,1,Sia,Cheap Thrills,female vocalists
2022-07-17,#143,0,0,David Bowie,Modern Love,rock
2022-07-18,#144,0,0,Weezer,Island in the Sun,rock
2022-07-19,#145,0,2,Phoenix,Lisztomania,indie
2022-07-20,#146,0,0,Meatloaf,Paradise By the Dashboard Light,rock
2022-07-21,#147,0,NA,Janelle Monáe,Make Me Feel,soul
2022-07-22,#148,0,0,Wolfmother,Joker And The Thief,rock
2022-07-23,#149,1,1,Scissor Sisters,Take Your Mama,pop
2022-07-24,#150,0,NA,Stone Temple Pilots,Interstate Love Song,Grunge
2022-07-25,#151,0,NA,Maren Morris,The Bones,country
2022-07-26,#152,0,NA,Billy Idol,White Wedding Pt. 1,rock
2022-07-27,#153,0,NA,Carrie Underwood,Before He Cheats,country
2022-07-28,#154,5,2,Duran Duran,Hungry Like The Wolf,new wave
2022-07-30,#156,2,5,Green Day,When I Come Around,punk rock
2022-07-31,#157,6,1,Doja Cat,Say So,pop
2022-08-01,#168,0,0,Alice in Chains,Would,Grunge
2022-08-02,#159,2,0,Pink,Raise Your Glass,pop
2022-08-03,#160,1,4,Arctic Monkeys,Do I Wanna Know,indie rock
2022-08-04,#161,1,1,Eiffel 65,Blue (Da Ba De),dance
2022-08-05,#162,3,NA,Rupert Holmes,Escape (The Pina Colada Song),pop
2022-08-07,#164,1,1,Gotye + Kimbra,Somebody That I Used To Know,NA
2022-08-09,#166,1,1,Paramore,Misery Business,rock
2022-08-10,#167,1,2,Green Day,Basket Case,punk rock
2022-08-11,#168,2,0,Eric Clapton,Wonderful Tonight,classic rock
2022-08-12,#169,0,1,The 1975,Chocolate,indie
2022-08-13,#170,1,NA,Sunshine of Your Life,Cream,NA
2022-08-14,#171,2,1,The Verge,Bitter Sweet Symphon,post-punk
2022-08-15,#172,5,1,Peter Bjorn and John,Young Folks,indie
2022-08-16,#173,NA,NA,James,Laid,britpop
2022-08-17,#174,5,3,Nirvana,Lithium,Grunge
2022-08-18,#175,4,1,Katy Perry,Hot N Cold,pop
2022-08-19,#176,6,0,Crowded House,Don't Dream It's Over,rock
2022-08-20,#177,0,0,Marshmello,Alone,electronic
2022-08-21,#178,0,0,Evanescence,My Immortal,rock
2022-08-22,#179,0,0,Jeremy Zucker,all the kids are depressed,Hip-Hop
2022-08-23,#180,0,1,XXXTENACION,Everybody Dies In Their Nightmares,NA
